,,Suaves colombianos (arábigo),,,Otros suaves (arábigo),,,Naturales del Brasil (arábigo),,,Robustas,,,
Mes,Precio del indicador compuesto OIC,Nueva York,Europa,Promedio ponderado,Nueva York,Europa,Promedio ponderado,Nueva York,Europa,Promedio ponderado,Nueva York,Europa,Promedio ponderado,
sept-13,"111,82","135,93","140,92","138,60","132,78","131,99","132,28","106,33","114,67","112,65","93,48","86,67","87,78",
oct-13,"107,03","130,14","138,16","133,83","128,83","128,62","128,70","103,58","111,67","109,57","90,01","82,49","83,70",
nov-13,"100,99","123,92","125,37","124,65","122,75","121,51","122,02","98,82","103,88","102,57","85,67","78,48","79,71",
dic-13,"106,56","125,82","125,92","126,54","127,05","124,62","125,97","100,48","109,35","107,40","95,30","86,68","87,89",
ene-14,"110,75","133,51","132,25","132,90","135,03","131,35","132,73","107,49","116,32","114,02","92,93","86,74","87,73",
feb-14,"137,81","173,96","170,97","172,22","176,28","172,43","173,64","142,75","151,06","148,74","101,14","94,93","95,90",
mar-14,"165,03","213,63","208,06","211,07","216,06","212,88","214,09","174,89","185,81","182,97","111,90","104,12","105,37",
abr-14,"170,58","223,79","216,90","220,62","226,99","221,33","223,48","182,89","193,33","190,62","110,68","104,57","105,55",
may-14,"163,94","213,45","209,27","211,66","215,24","213,07","214,20","170,89","185,35","181,97","108,35","101,77","102,99",
jun-14,"151,92","196,14","194,48","195,17","198,91","197,60","197,89","154,02","169,73","165,34","104,63","98,00","98,91",
jul-14,"152,50","194,91","193,36","194,21","198,59","195,87","196,90","154,00","168,79","164,92","107,23","100,74","101,79",
ago-14,"163,08","210,42","212,99","211,60","214,50","212,02","212,97","171,99","187,30","183,32","105,07","99,34","100,25",
sept-14,"161,79","202,77","210,78","206,78","212,01","209,22","210,53","168,11","186,84","182,15","105,57","99,53","100,52",
oct-14,"172,88","219,27","226,48","222,59","227,06","224,20","225,29","181,58","202,48","197,05","109,39","103,80","104,70",
nov-14,"162,17","203,71","209,54","206,41","212,93","207,27","209,38","169,10","185,75","181,43","106,81","102,33","103,06",
dic-14,"150,66","191,53","192,89","190,16","200,59","191,70","193,60","157,87","170,70","166,58","103,51","97,76","98,43",
ene-15,"148,24","182,32","189,21","185,26","190,90","189,75","190,00","151,21","167,95","163,50","102,33","97,21","98,01",
feb-15,"141,10","171,68","176,49","174,11","179,94","177,98","178,89","143,32","154,77","151,90","103,74","97,28","98,36",
mar-15,"127,04","151,94","157,04","154,29","160,02","161,18","160,74","127,81","135,56","133,55","98,07","91,04","92,16",
abr-15,"129,02","155,30","159,13","157,06","164,95","163,41","164,00","131,63","138,49","136,70","98,73","90,79","92,06",
may-15,"123,49","148,45","152,30","150,19","158,45","158,49","158,48","124,60","132,30","130,38","94,35","86,17","87,56",
jun-15,"124,97","150,58","153,72","152,02","159,77","159,75","159,76","120,85","133,90","130,51","96,89","88,98","90,25",
jul-15,"119,77","142,24","147,08","144,52","153,29","155,12","154,45","111,92","127,72","123,64","92,71","86,03","87,12",
